inside DefaultArgs : assigning default args
Network type:  uni
generating connection probabilities, NE, NI, K, thetaSig 1000 1000 100 0.75
generating  connectivity matrix... done!
Generating sparse representation ... done!
npost sum = 400891
convec sum =  400891
         125753 function calls (121864 primitive calls) in 0.639 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.000    0.000    0.000    0.000 numerictypes.py:233(bitname)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.060    0.060 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.003    0.003 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:206(matrix)
     20/8    0.000    0.000    0.003    0.000 pyparsing.py:2411(parseImpl)
        1    0.000    0.000    0.001    0.001 sysconfig.py:10(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2574(Menu)
      142    0.000    0.000    0.000    0.000 pyparsing.py:254(__new__)
        1    0.000    0.000    0.000    0.000 blocking_input.py:110(BlockingMouseInput)
      138    0.000    0.000    0.000    0.000 colors.py:621(__init__)
        1    0.000    0.000    0.000    0.000 decomp_qr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:1(<module>)
      193    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.002    0.002 axes.py:336(Axes)
        1    0.000    0.000    0.000    0.000 collections.py:25(OrderedDict)
       64    0.000    0.000    0.021    0.000 sre_compile.py:480(_code)
        1    0.000    0.000    0.000    0.000 case.py:132(TestCase)
     1136    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
      423    0.000    0.000    0.000    0.000 collections.py:277(<genexpr>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
       50    0.000    0.000    0.000    0.000 colors.py:258(to_rgb)
       36    0.000    0.000    0.000    0.000 pyparsing.py:2542(__init__)
      190    0.000    0.000    0.000    0.000 {zip}
      169    0.000    0.000    0.000    0.000 pyparsing.py:1379(__getattr__)
        1    0.000    0.000    0.000    0.000 lbfgsb.py:27(<module>)
        1    0.000    0.000    0.000    0.000 blocking_input.py:18(<module>)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        1    0.000    0.000    0.004    0.004 polynomial.py:4(<module>)
        1    0.000    0.000    0.000    0.000 slsqp.py:6(<module>)
       23    0.000    0.000    0.000    0.000 pyparsing.py:1444(__init__)
       38    0.000    0.000    0.000    0.000 nosetester.py:181(__init__)
        1    0.000    0.000    0.000    0.000 geo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 gridspec.py:15(<module>)
        1    0.000    0.000    0.016    0.016 optimize.py:18(<module>)
        3    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
